Timestamp,Open,High,Low,Close,Volume
2025-12-12 02:55:00.000,180.29,180.3,180.27,180.27,391
2025-12-12 03:00:00.000,180.2,180.23,180.18,180.19,491
2025-12-12 03:05:00.000,180.14,180.14,180.05,180.11,919
2025-12-12 03:10:00.000,180.12,180.12,180.1,180.1,213
2025-12-12 03:15:00.000,180.06,180.08,179.97,180.03,739
2025-12-12 03:20:00.000,180.08,180.09,180.06,180.09,34
2025-12-12 03:25:00.000,180.1,180.14,180.03,180.03,169
2025-12-12 03:30:00.000,179.99,180.0,179.98,180.0,198
2025-12-12 03:35:00.000,180.14,180.14,180.14,180.14,220
2025-12-12 03:40:00.000,180.26,180.32,180.26,180.32,132
2025-12-12 03:45:00.000,180.08,180.23,180.07,180.17,78
2025-12-12 03:50:00.000,180.16,180.17,180.11,180.17,30
2025-12-12 03:55:00.000,180.22,180.24,180.22,180.24,19
2025-12-12 04:00:00.000,180.17,180.37,180.13,180.27,5903
2025-12-12 04:05:00.000,180.11,180.11,179.66,179.66,2756
2025-12-12 04:10:00.000,179.65,179.65,179.35,179.49,9825
2025-12-12 04:15:00.000,179.47,179.53,179.28,179.28,4742
2025-12-12 04:20:00.000,179.39,179.55,179.38,179.5,1390
2025-12-12 04:25:00.000,179.52,179.52,179.34,179.34,6387
2025-12-12 04:30:00.000,179.31,179.35,179.14,179.2,5275
2025-12-12 04:35:00.000,179.32,179.33,179.18,179.18,1557
2025-12-12 04:40:00.000,179.19,179.25,179.1,179.19,1742
2025-12-12 04:45:00.000,179.03,179.25,179.0,179.25,4863
2025-12-12 04:50:00.000,179.37,179.44,179.29,179.29,2080
2025-12-12 04:55:00.000,179.36,179.49,179.36,179.49,1816
2025-12-12 05:00:00.000,179.41,179.43,179.35,179.35,600
2025-12-12 05:05:00.000,179.5,179.6,179.5,179.6,400
2025-12-12 05:10:00.000,179.58,179.89,179.58,179.79,7669
2025-12-12 05:15:00.000,179.67,179.67,179.57,179.57,2327
2025-12-12 05:20:00.000,179.51,179.56,179.45,179.54,915
2025-12-12 05:25:00.000,179.45,179.51,179.44,179.48,1769
2025-12-12 05:30:00.000,179.47,179.5,179.4,179.44,3431
2025-12-12 05:35:00.000,179.38,179.38,179.2,179.2,1975
2025-12-12 05:40:00.000,179.17,179.35,179.17,179.34,1737
2025-12-12 05:45:00.000,179.35,179.8,179.35,179.61,2901
2025-12-12 05:50:00.000,179.7,179.71,179.7,179.7,550
2025-12-12 05:55:00.000,179.66,179.85,179.66,179.83,1266
2025-12-12 06:00:00.000,179.83,179.83,179.79,179.79,400
2025-12-12 06:05:00.000,179.81,179.85,179.71,179.72,1800
2025-12-12 06:10:00.000,179.73,180.16,179.73,180.16,5144
2025-12-12 06:15:00.000,180.01,180.2,180.01,180.19,1105
2025-12-12 06:20:00.000,180.19,180.45,180.19,180.4,5173
2025-12-12 06:25:00.000,180.45,180.49,180.19,180.19,721
2025-12-12 06:30:00.000,180.19,180.45,180.19,180.25,1585
2025-12-12 06:35:00.000,180.27,180.75,180.23,180.38,7663
2025-12-12 06:40:00.000,180.32,180.83,180.32,180.5,12721
2025-12-12 06:45:00.000,180.52,180.56,180.19,180.21,4274
2025-12-12 06:50:00.000,180.17,180.35,180.14,180.35,3052
2025-12-12 06:55:00.000,180.35,180.58,180.35,180.58,2095
2025-12-12 07:00:00.000,180.51,180.51,180.26,180.35,5927
2025-12-12 07:05:00.000,180.34,180.38,180.24,180.38,4444
2025-12-12 07:10:00.000,180.38,180.48,180.38,180.48,8864
2025-12-12 07:15:00.000,180.47,180.7,180.45,180.7,9627
